objectid,filename,title,source-creator,source-creator-origin,source-udience,source-genre,source-lang,publication-date,edition-date,source_related,format,measurements,source_identifier,cover_artist,cover_artist_origin,cover_designer,cover_designer_origin,cover_type,cover_style,cover_description,publisher_name,publisher_location,rights_holder,publisher_link
cover1,https://github.com/engiroux/book_cover_dl/tree/main/objects/cover1,Frankenstein,"Shelley, Mary",England,General,Classic Fiction; Gothic & Horror; Science Fiction,eng,"January 1, 1818",2014-09-30,Penguin Clothbound Classics,Hardcover (clothbound),5-1/16 x 7-3/4,ISBN 9780141393391,Coralie Bickford-Smith,England,,,Graphic,Print on Cloth,"A graphic print of large repeated anatomical hearts adorns this purple clothbound cover. The title of ""Frankenstein"" sits at the top center of the book cover, with the author's name ""Mary Shelley"" printed at the bottom center of the cover. The anatomical heart pattern leaves blank spaces at the top and bottom for the text readability.",Penguin Classics,"London, England",Penguin Random House,https://www.penguinrandomhouse.com/books/286385/frankenstein-by-mary-shelley-edited-with-an-introduction-and-notes-by-maurice-hindle-cover-illustration-by-coralie-bickford-smith/
cover2,https://github.com/engiroux/book_cover_dl/tree/main/objects/cover2,Fahrenheit 451,"Bradbury, Ray","Waukegan, Illinois","General, Adult",Classic Fiction; Science Fiction,eng,1953-10-19,2012-01-12,,Hardcover,5.5 x 8.44,9781439142677,,,Matthew Owen,,Graphic,,"A red background with a black, red, and white graphic of a box of matches and a black book fused together so that it a tray of matches is coming out of the top of a book laid on it's back cover. ",Simon & Schuster,New York,Ray Bradbury ,https://www.simonandschuster.com/books/Fahrenheit-451/Ray-Bradbury/9781439142677
cover3,,,,,,,,,,,,,,,,,,,,,,,,
cover4,,,,,,,,,,,,,,,,,,,,,,,,
cover5,,,,,,,,,,,,,,,,,,,,,,,,
cover6,,,,,,,,,,,,,,,,,,,,,,,,
cover7,,,,,,,,,,,,,,,,,,,,,,,,
cover8,,,,,,,,,,,,,,,,,,,,,,,,
cover9,,,,,,,,,,,,,,,,,,,,,,,,
cover10,,,,,,,,,,,,,,,,,,,,,,,,
cover11,,,,,,,,,,,,,,,,,,,,,,,,
cover12,,,,,,,,,,,,,,,,,,,,,,,,
cover13,,,,,,,,,,,,,,,,,,,,,,,,
cover14,,,,,,,,,,,,,,,,,,,,,,,,
cover15,,,,,,,,,,,,,,,,,,,,,,,,
cover16,,,,,,,,,,,,,,,,,,,,,,,,
cover17,,,,,,,,,,,,,,,,,,,,,,,,
cover18,,,,,,,,,,,,,,,,,,,,,,,,
cover19,,,,,,,,,,,,,,,,,,,,,,,,
cover20,,,,,,,,,,,,,,,,,,,,,,,,
cover21,,,,,,,,,,,,,,,,,,,,,,,,
cover22,,,,,,,,,,,,,,,,,,,,,,,,
cover23,,,,,,,,,,,,,,,,,,,,,,,,
