Group Member,objectid,filename,format,title,source_creator,source_creator_origin,source_audience,source_genre,source_subjects,source_lang,publication_date,edition_date,source_related,book_format,measurements,source_identifier,cover_artist,cover_artist_origin,cover_designer,cover_designer_origin,cover_type,cover_style,cover_description,cover_subjects,publisher_name,publisher_location,rights_holder,publisher_link
Celina,cover07,https://images1.penguinrandomhouse.com/cover/9780141393391,image/jpeg,Frankenstein,"Shelley, Mary",England,General,Classic Fiction; Gothic & Horror; Science Fiction,Monsters; Scientists,eng,1818-01-01,2014-30-09,Penguin Clothbound Classics,Hardcover (clothbound),5-1/16 x 7-3/4,ISBN 9780141393391,Coralie Bickford-Smith,England,,,Graphic,Print on Cloth,"A graphic print of large repeated anatomical hearts adorns this purple clothbound cover. The title of ""Frankenstein"" sits at the top center of the book cover, with the author's name ""Mary Shelley"" printed at the bottom center of the cover. The anatomical heart pattern leaves blank spaces at the top and bottom for the text readability.",heart,Penguin Classics,"London, England",Penguin Random House,https://www.penguinrandomhouse.com/books/286385/frankenstein-by-mary-shelley-edited-with-an-introduction-and-notes-by-maurice-hindle-cover-illustration-by-coralie-bickford-smith/
Celina,cover08,,image/jpeg,Frankenstein,"Shelley, Mary",England,General,Classic Fiction; Gothic & Horror; Science Fiction,Monsters; Scientists,eng,1818-01-01,,,,,,,,,,,,,,,,,
Celina,cover09,,image/jpeg,Frankenstein,"Shelley, Mary",England,General,Classic Fiction; Gothic & Horror; Science Fiction,Monsters; Scientists,eng,1818-01-01,,,,,,,,,,,,,,,,,
Celina,cover13,,image/jpeg,My Antonia,,,,,,,,,,,,,,,,,,,,,,,,
Celina,cover14,,image/jpeg,My Antonia,,,,,,,,,,,,,,,,,,,,,,,,
Celina,cover15,,image/jpeg,My Antonia,,,,,,,,,,,,,,,,,,,,,,,,
Celina,cover22,,image/jpeg,The Brothers Karamazov,,,,,,,,,,,,,,,,,,,,,,,,
Celina,cover23,,image/jpeg,The Brothers Karamazov,,,,,,,,,,,,,,,,,,,,,,,,
Celina,cover24,,image/jpeg,The Brothers Karamazov,,,,,,,,,,,,,,,,,,,,,,,,
Celina,cover40,,image/jpeg,To Kill a Mockingbird,,,,,,,,,,,,,,,,,,,,,,,,
