Group Member,objectid,filename,format,image_source,title,source_creator,source_creator_origin,source_audience,source_genre,source_subjects,source_lang,publication_date,edition_date,date,source_related,book_format,measurements,source_identifier,cover_artist,cover_artist_origin,cover_designer,cover_designer_origin,cover_type,cover_style,cover_color,cover_description,cover_subjects,publisher_name,publisher_location,rights_holder,publisher_link
Shannon,cover01,image_01.jpg,image,Pan Macmillan (Firm),Alice in Wonderland,"Carroll, Lewis, 1832-1898","Daresbury, UK",General; Children,juvenile literature; fantasy,animals; coming of age; fantasy,eng,1905-02-07,2020-10-15,2020,,Hardcover; jacketed,20.19 cm x 3.81 cm x 25.15 cm,9781529002461,"Riddell, Chris",South Africa,,,illustration,drawing; illustration,multicolor,"The cover features multiple illustrations on it. In the center is a large red diamond with the name of the illustrator at the top, the name of the book in the center, and then the author's name at the bottom, all in gold lettering. Also in the center of the red diamond is the illustration of Alice. In the top left corner of the cover is the white rabbit with coat and umbrella. In the top right corner is an orange cheshire cat sitting in a tree. In the bottom right corner is the March Hare and the Mad Hatter sitting at the tea time. The bottom left corner features the Queen of Hearts sitting on her throne with the King of Hearts sitting on the smaller throne to the right of her.",,MacMillan Children's Books,UK,Chris Riddell,https://www.panmacmillan.com/authors/lewis-carroll/alices-adventures-in-wonderland/9781529002461
Shannon,cover02,image_02.jpg,image,Penguin Random House,Alice in Wonderland,"Carroll, Lewis, 1832-1898","Daresbury, UK",General; Children,juvenile literature; fantasy,animals; coming of age; fantasy,eng,1905-02-07,2015-10-27,2015,Puffin Books,hardcover,7-1/2 x 9-5/8,9780147515872,"Bond, Anna","Summit, NJ",Rifle Paper Co.,"Winter Park, FL",illustration,illustration,multicolor,"Cover design in Rifle Paper Co. style; features bottom front Alice standing in a forest of grass, mushrooms, and flowers of various colors. In the top right of the cover is the blue caterpillar, bottom left features the back half of the white rabbit, and the top left features a gray cheshire cat. The name of the author and title of the book are in large gold lettering, with the author's name being at the bottom and the title of the book being in the top center above the illustration of Alice. The background color itself is in a dark reddish/brown color.",alice; blue caterpillar; white rabbit; cheshire cat; flowers; grass; mushrooms; vines,Penguin Random House,New York,Anna Bond,https://www.penguinrandomhouse.com/books/317910/alices-adventures-in-wonderland-by-lewis-carroll-illustrated-by-anna-bond/
Shannon,cover03,image_03.jpg,image,Astra Publishing,Alice in Wonderland,"Carroll, Lewis, 1832-1898","Daresbury, UK",General; Children,juvenile literature; fantasy,animals; coming of age; fantasy,eng,1905-02-07,2016-04-01,2016,Minedition,hardcover,5-1/2 x 7-1/4,9789888341016,"Zwerger, Lisbeth","Vienna, Austria",,,illustration,illustration,multicolor,"Cover design features in the foreground Alice looking down and the Queen of Hearts to the left of her. In the background are various card soldiers, the first set being Club Card Soldiers with various numbers on them and carrying a banner of yellow with red, white, and blue symbols on it. Further back is another set of card soldiers that are Heart Card Soldiers of various numbers and a lone soldier that is an eight of spades. In the bottom front of the cover is a couple of random cards on the ground. The author and illustrator names are in black on the bottom left of the cover. The title of the book is featured in the top right of the cover with the first letter of the name, Alice, in red. The background of the cover itself is a light blue and then a beige color in the forefront as the ground.",alice; queen of hearts; spades; banner; clubs; hearts; card soldiers; cards,Astra Publishing House,,,https://astrapublishinghouse.com/product/alice-in-wonderland-9789888341016/
Emily ✅,cover04,image_04.jpg,image,Simon & Schuster,Fahrenheit 451,"Bradbury, Ray, 1920-2012","Waukegan, IL",General; Adult, fiction; science fiction,dystopia; books;fire,eng,1953-10-19,2012-01-12,2012,60th Anniversary Edition,paperback,5.5 x 8.44,9781451673319,"Owen, Matthew",,,,graphic,minimal; minimalist,red; black; white,"A red background with a black, red, and white graphic of a box of matches and a black book fused together so that it a tray of matches is coming out of the top of a book laid on it's back cover.",book; matches,Simon & Schuster,New York,Simon & Schuster Paperbacks,https://www.simonandschuster.com/books/Fahrenheit-451/Ray-Bradbury/9781439142677
Emily ✅,cover05,image_05.jpg,image,HarperCollins (Firm),Fahrenheit 451,"Bradbury, Ray, 1920-2012","Waukegan, IL",General; Adult, fiction; science fiction,dystopia; books;fire,eng,1953-10-19,2008,2008,International Editon,paperback,5.08 x 0.63 x 7.76 '',9780006546061,"Skeats, Clare","London, England",,,graphic,minimal; geometric,red; yellow; orange,"Orange, yellow, and red flames take up the majority of the cover. The background, title, and author text are all in a dark burgundy. The author's name is printed above the title of the book within the flames. Parts of the authors name are askew, the title is straight. There are also dark burgundy silhouettes of the tops/bottoms of books surrounding the author and title text.",flames; fire; books,HarperCollins (firm),,HarpercCollins Publishers Ltd.,https://harpercollins.co.uk/products/fahrenheit-451-ray-bradbury?variant=40026579632206
Emily ✅,cover06,image_06.jpg,image,New York Times Company,Fahrenheit 451,"Bradbury, Ray, 1920-2012","Waukegan, IL",General; Adult, fiction; science fiction,dystopia; books;fire,eng,1953-10-19,1953,1953,,hardcover,,53-11280,"Mugnaini, Joseph","Viareggio, Italy",,,illustration,drawing;,white; black; red; yellow,"A man made of book pages sheilds his eyes from flames, his other . He is standing on a pile of books. Both the figure and the pile of books are topped with yellow flames. Text: ""Wonderful stories by the author of THE GOLDEN APPLES"" is printed in the upper left corner. ""RAY"" is printed in large light gray block letters, ""BRADBURY"" is printed in bright red block letters just below ""RAY"". Just underneath the illustration ""FAHRENHEIT"" is written in dark green block letters that are slightly smaller than the text of the author's name. It is immediately followed by ""451"" in large bright red block letters, identical to the author's last name. ""BALLENTINE BOOKS"" is printed in bold black lettering near the bottom right edge of the cover.",flames; fire; books,Ballentine Books,New York,Balentine Book; Penguin Randomhouse,
Celina,cover07,image_07.jpg,image,Penguin Random House,Frankenstein,"Shelley, Mary Wollstonecraft, 1797-1851","London, UK",General, fiction; gothic & horror; science fiction,monsters; scientists,eng,1818-01-01,2014-09-30,2014,Penguin Clothbound Classics,hardcover; jacketed,5.06'' x 7.75'',9780141393391,"Bickford-Smith, Coralie",England,,,graphic,print on cloth,purple,"A graphic print of large repeated anatomical hearts adorns this purple clothbound cover. The title of ""Frankenstein"" sits at the top center of the book cover, with the author's name ""Mary Shelley"" printed at the bottom center of the cover. The anatomical heart pattern leaves blank spaces at the top and bottom for the text readability.",heart,Penguin Classics; Penguin Random House,"London, England",Penguin Random House,https://www.penguinrandomhouse.com/books/286385/frankenstein-by-mary-shelley-edited-with-an-introduction-and-notes-by-maurice-hindle-cover-illustration-by-coralie-bickford-smith/
Celina,cover08,image_08.jpg,image,Sterling Publishing Company,Frankenstein,"Shelley, Mary Wollstonecraft, 1797-1851","London, UK",General, fiction; gothic & horror; science fiction,monsters; scientists,eng,1818-01-01,2022-10-11,2022,Signature Editions,hardcover; jacketed,5.25 x 8 x 0,9781435172548,"Favre, Malika",France,,,graphic,,dark blue; black; purple,"A graphic illustration of a man staring grimly at the reader covers the face of this book. The image is distorted, as if looking at the face of the man through the shattered glass of a mirror, making parts of the man’s face appear out of alignment. The cover is darkly colored with shades of dark blues and blacks, highlighted by traces of bright purple streaks accenting the man’s hair and clothes. The title and author's name sit at the top left of the cover and the text “Signature Classics” graces the bottom left corner of the cover in purple text within an outlined purple box.",glass,Union Square & Co; Sterling Publishing Company,New York,Union Square & Co,https://www.unionsquareandco.com/9781435172548/frankenstein-by-mary-shelley/
Celina,cover09,image_09.jpg,image,HarperCollins (Firm),Frankenstein,"Shelley, Mary Wollstonecraft, 1797-1851","London, UK",General, fiction; gothic & horror; science fiction,monsters; scientists,eng,1818-01-01,2022-05-24,2022,Harper Muse Classics - Painted Editions,hardcover,,9781401604110,"Fowler, Laci",United States of America,,,illustration,hand-painted; painting,,"The cover depicts a hand-painted illustration using rough brush strokes of a castle sitting atop a hill, dark storm clouds overhead, lightning stretching across the landscape, and a few trees round about the hills. The only text on the cover is the title, printed in small text towards the top left of the cover design.",castle; storm; lightning; landscape,Harper Muse; HarperCollins (firm),New York,HarperCollins (Firm),https://www.harpercollinsfocus.com/9781401604110/frankenstein-pretty-books-painted-editions/
Emily ✅,cover10,image_10.jpg,image,Storygraph,Charlie and the Chocolate Factory,"Dahl, Roald","Cardiff, UK",Juvenile,juvenile literature; humorous fiction,chocolate factories--fiction; behavior--fiction,eng,1964,1985-04-01,1985,Series: Charlie Bucket,paperback,24cm x 15.5cm,9780140318241,"Foreman, Michael","Pakefield, Lowestoft, United Kingdom",,,illustration,drawing;,yellow; blue; multicolor,"A young boy, Charlie Bucket, wearing a blue jacket, blue pants, and a white satchel across his body, walks up to a gilded wrought iron gate with ""WONKA"" spelled out in gold letters. A faded outline of a factory sits behind the gates. The gates are bracketed by brick walls on both sides. ""Charlie and the Chocolate Factory"" is shown in yellow block letters outlined in blue at the top of the cover, preceeded by ""Roald Dahl"" in black type.",factory; boy;,Penguin Group; Puffin; Penguin Random House,London; New York,"Roald Dahl, Michael Foreman",https://www.penguinrandomhouse.com/books/319173/charlie-and-the-chocolate-factory-by-roald-dahl-illustrated-by-quentin-blake/
